"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Gorssel";"Lochem                             ";"Gelderland               ";"Oost-Nederland           "
"Gouda";"Gouda                              ";"Zuid-Holland             ";"West-Nederland           "
"Gouderak";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Goudriaan";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Goudswaard";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Goutum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"'t Goy";"Houten                             ";"Utrecht                  ";"West-Nederland           "
"Graauw";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Grafhorst";"Kampen                             ";"Overijssel               ";"Oost-Nederland           "
"Graft";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Gramsbergen";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Grashoek";"Peel en Maas                       ";"Limburg                  ";"Zuid-Nederland           "
"Grathem";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Grave";"Grave                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"'s-Graveland";"Wijdemeren                         ";"Noord-Holland            ";"West-Nederland           "
"'s-Gravendeel";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"'s-Gravenhage";"'s-Gravenhage                      ";"Zuid-Holland             ";"West-Nederland           "
"'s Gravenmoer";"Dongen                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"'s-Gravenpolder";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"'s-Gravenzande";"Westland                           ";"Zuid-Holland             ";"West-Nederland           "
"Greonterp";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Grevenbicht";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Griendtsveen";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Grijpskerk";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Grijpskerke";"Veere                              ";"Zeeland                  ";"West-Nederland           "
"Groede";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Groenekan";"De Bilt                            ";"Utrecht                  ";"West-Nederland           "
"Groeningen";"Boxmeer                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Groenlo";"Oost Gelre                         ";"Gelderland               ";"Oost-Nederland           "
"Groesbeek";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
"Groessen";"Duiven                             ";"Gelderland               ";"Oost-Nederland           "
"Groet";"Bergen (NH.)                       ";"Noord-Holland            ";"West-Nederland           "
"De Groeve";"Tynaarlo                           ";"Drenthe                  ";"Noord-Nederland          "
"Grolloo";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Groningen";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Gronsveld";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Groot-Ammers";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Grootebroek";"Stede Broec                        ";"Noord-Holland            ";"West-Nederland           "
"Grootegast";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Grootschermer";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Grou";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Grubbenvorst";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Gulpen";"Gulpen-Wittem                      ";"Limburg                  ";"Zuid-Nederland           "
"Guttecoven";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Gytsjerk";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Haaften";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Haaksbergen";"Haaksbergen                        ";"Overijssel               ";"Oost-Nederland           "
"Haalderen";"Lingewaard                         ";"Gelderland               ";"Oost-Nederland           "
"'t Haantje";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Haaren";"Haaren                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Haarle";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"Haarle";"Hellendoorn                        ";"Overijssel               ";"Oost-Nederland           "
"Haarlem";"Haarlem                            ";"Noord-Holland            ";"West-Nederland           "
"Haarlemmerliede";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Haarlo";"Berkelland                         ";"Gelderland               ";"Oost-Nederland           "
"Haarsteeg";"Heusden                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Haarzuilens";"Utrecht                            ";"Utrecht                  ";"West-Nederland           "
"Haastrecht";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Haelen";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Hagestein";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Haghorst";"Hilvarenbeek                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Haler";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Halfweg";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Hall";"Brummen                            ";"Gelderland               ";"Oost-Nederland           "
"Halle";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Hallum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Halsteren";"Bergen op Zoom                     ";"Noord-Brabant            ";"Zuid-Nederland           "
"Den Ham";"Twenterand                         ";"Overijssel               ";"Oost-Nederland           "
"Den Ham";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Handel";"Gemert-Bakel                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hank";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hansweert";"Reimerswaal                        ";"Zeeland                  ";"West-Nederland           "
"Hantum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Hantumeruitburen";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Hantumhuizen";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Hapert";"Bladel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Haps";"Cuijk                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Harbrinkhoek";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"'t Harde";"Elburg                             ";"Gelderland               ";"Oost-Nederland           "
"Hardenberg";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Harderwijk";"Harderwijk                         ";"Gelderland               ";"Oost-Nederland           "
"Hardinxveld-Giessendam";"Hardinxveld-Giessendam             ";"Zuid-Holland             ";"West-Nederland           "
"Haren";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Haren Gn";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Harfsen";"Lochem                             ";"Gelderland               ";"Oost-Nederland           "
"Harich";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Haringhuizen";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Harkema";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Harkstede";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Harkstede GN";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Harlingen";"Harlingen                          ";"Friesland                ";"Noord-Nederland          "
"Harmelen";"Woerden                            ";"Utrecht                  ";"West-Nederland           "
"Harreveld";"Oost Gelre                         ";"Gelderland               ";"Oost-Nederland           "
"Harskamp";"Ede                                ";"Gelderland               ";"Oost-Nederland           "
"Hartwerd";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Haskerdijken";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Haskerhorne";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Hasselt";"Zwartewaterland                    ";"Overijssel               ";"Oost-Nederland           "
"Hattem";"Hattem                             ";"Gelderland               ";"Oost-Nederland           "
"Hattemerbroek";"Oldebroek                          ";"Gelderland               ";"Oost-Nederland           "
"Haule";"Ooststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Haulerwijk";"Ooststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Hauwert";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Havelte";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Havelterberg";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Hazerswoude-Dorp";"Alphen aan den Rijn                ";"Zuid-Holland             ";"West-Nederland           "
"Hazerswoude-Rijndijk";"Alphen aan den Rijn                ";"Zuid-Holland             ";"West-Nederland           "
"Hedel";"Maasdriel                          ";"Gelderland               ";"Oost-Nederland           "
"Hedikhuizen";"Heusden                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hee";"Terschelling                       ";"Friesland                ";"Noord-Nederland          "
"Heeg";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Heel";"Maasgouw                           ";"Limburg                  ";"Zuid-Nederland           "
"Heelsum";"Renkum                             ";"Gelderland               ";"Oost-Nederland           "
"Heelweg";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Heemserveen";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Heemskerk";"Heemskerk                          ";"Noord-Holland            ";"West-Nederland           "
"Heemstede";"Heemstede                          ";"Noord-Holland            ";"West-Nederland           "
"De Heen";"Steenbergen                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heenvliet";"Nissewaard                         ";"Zuid-Holland             ";"West-Nederland           "
"'s-Heer Abtskerke";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"'s-Heer Arendskerke";"Goes                               ";"Zeeland                  ";"West-Nederland           "
"'s-Heer Hendrikskinderen";"Goes                               ";"Zeeland                  ";"West-Nederland           "
"Heerde";"Heerde                             ";"Gelderland               ";"Oost-Nederland           "
"'s-Heerenberg";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"'s-Heerenbroek";"Kampen                             ";"Overijssel               ";"Oost-Nederland           "
"'s-Heerenhoek";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"Heerenveen";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Heerewaarden";"Maasdriel                          ";"Gelderland               ";"Oost-Nederland           "
"Heerhugowaard";"Heerhugowaard                      ";"Noord-Holland            ";"West-Nederland           "
"Heerjansdam";"Zwijndrecht                        ";"Zuid-Holland             ";"West-Nederland           "
"Heerle";"Roosendaal                         ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heerlen";"Heerlen                            ";"Limburg                  ";"Zuid-Nederland           "
"Heesbeen";"Heusden                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heesch";"Bernheze                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heesselt";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Heeswijk-Dinther";"Bernheze                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heeten";"Raalte                             ";"Overijssel               ";"Oost-Nederland           "
"Heeze";"Heeze-Leende                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hegebeintum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Hegelsom";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Hei- en Boeicop";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Heibloem";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Heide";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"It Heidenskip";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Ter Heijde";"Westland                           ";"Zuid-Holland             ";"West-Nederland           "
"Heijen";"Gennep                             ";"Limburg                  ";"Zuid-Nederland           "
"Heijenrath";"Gulpen-Wittem                      ";"Limburg                  ";"Zuid-Nederland           "
"Heijningen";"Moerdijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heikant";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Heilig Landstichting";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
"Heiligerlee";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Heiloo";"Heiloo                             ";"Noord-Holland            ";"West-Nederland           "
"Heinenoord";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Heinkenszand";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"Heino";"Raalte                             ";"Overijssel               ";"Oost-Nederland           "
"Hekelingen";"Nissewaard                         ";"Zuid-Holland             ";"West-Nederland           "
"Hekendorp";"Oudewater                          ";"Utrecht                  ";"West-Nederland           "
"Helden";"Peel en Maas                       ";"Limburg                  ";"Zuid-Nederland           "
"Den Helder";"Den Helder                         ";"Noord-Holland            ";"West-Nederland           "
"Helenaveen";"Deurne                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hellendoorn";"Hellendoorn                        ";"Overijssel               ";"Oost-Nederland           "
"Hellevoetsluis";"Hellevoetsluis                     ";"Zuid-Holland             ";"West-Nederland           "
"Hellouw";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Hellum";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Helmond";"Helmond                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Helvoirt";"Haaren                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hem";"Drechterland                       ";"Noord-Holland            ";"West-Nederland           "
"Hemelum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Hemmen";"Overbetuwe                         ";"Gelderland               ";"Oost-Nederland           "
"Hempens";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Hemrik";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Hendrik-Ido-Ambacht";"Hendrik-Ido-Ambacht                ";"Zuid-Holland             ";"West-Nederland           "
"Hengelo";"Hengelo                            ";"Overijssel               ";"Oost-Nederland           "
"Hengelo (Gld)";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Hengevelde";"Hof van Twente                     ";"Overijssel               ";"Oost-Nederland           "
"Hengstdijk";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Hensbroek";"Koggenland                         ";"Noord-Holland            ";"West-Nederland           "
"Herbaijum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Herkenbosch";"Roerdalen                          ";"Limburg                  ";"Zuid-Nederland           "
"Herkingen";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Hernen";"Wijchen                            ";"Gelderland               ";"Oost-Nederland           "
"Herpen";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Herpt";"Heusden                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Herten";"Roermond                           ";"Limburg                  ";"Zuid-Nederland           "
"Hertme";"Borne                              ";"Overijssel               ";"Oost-Nederland           "
"'s-Hertogenbosch";"'s-Hertogenbosch                   ";"Noord-Brabant            ";"Zuid-Nederland           "
"Herveld";"Overbetuwe                         ";"Gelderland               ";"Oost-Nederland           "
"Herwen";"Zevenaar                           ";"Gelderland               ";"Oost-Nederland           "
"Herwijnen";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Heteren";"Overbetuwe                         ";"Gelderland               ";"Oost-Nederland           "
"Heukelom";"Oisterwijk                         ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heukelum";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Heumen";"Heumen                             ";"Gelderland               ";"Oost-Nederland           "
"De Heurne";"Aalten                             ";"Gelderland               ";"Oost-Nederland           "
"Heusden";"Heusden                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heusden";"Asten                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Heveadorp";"Renkum                             ";"Gelderland               ";"Oost-Nederland           "
"Heythuysen";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Hezingen";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"Hiaure";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Hichtum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Hidaard";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Hierden";"Harderwijk                         ";"Gelderland               ";"Oost-Nederland           "
"Hieslum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Hijken";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Hijum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Hilaard";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Hillegom";"Hillegom                           ";"Zuid-Holland             ";"West-Nederland           "
"Hilvarenbeek";"Hilvarenbeek                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hilversum";"Hilversum                          ";"Noord-Holland            ";"West-Nederland           "
"Hindeloopen";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Hinnaard";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Hippolytushoef";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Hitzum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Hobrede";"Edam-Volendam                      ";"Noord-Holland            ";"West-Nederland           "
"Hoedekenskerke";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"de Hoef";"De Ronde Venen                     ";"Utrecht                  ";"West-Nederland           "
"Hoef en Haag";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Hoek";"Terneuzen                          ";"Zeeland                  ";"West-Nederland           "
"Hoek van Holland";"Rotterdam                          ";"Zuid-Holland             ";"West-Nederland           "
"Hoenderloo";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Hoenderloo";"Ede                                ";"Gelderland               ";"Oost-Nederland           "
"Hoensbroek";"Heerlen                            ";"Limburg                  ";"Zuid-Nederland           "
"Hoenzadriel";"Maasdriel                          ";"Gelderland               ";"Oost-Nederland           "
"De Hoeve";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Hoevelaken";"Nijkerk                            ";"Gelderland               ";"Oost-Nederland           "
"Hoeven";"Halderberge                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hoge Hexel";"Wierden                            ";"Overijssel               ";"Oost-Nederland           "
"Hollandsche Rading";"De Bilt                            ";"Utrecht                  ";"West-Nederland           "
"Hollandscheveld";"Hoogeveen                          ";"Drenthe                  ";"Noord-Nederland          "
"Hollum";"Ameland                            ";"Friesland                ";"Noord-Nederland          "
"Holsloot";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Holten";"Rijssen-Holten                     ";"Overijssel               ";"Oost-Nederland           "
"Holthees";"Boxmeer                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Holtheme";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Holthone";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Holtum";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Holwerd";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Holwierde";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Hommerts";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Homoet";"Overbetuwe                         ";"Gelderland               ";"Oost-Nederland           "
"Honselersdijk";"Westland                           ";"Zuid-Holland             ";"West-Nederland           "
"Hoofddorp";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Hoofdplaat";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Hoog Soeren";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Hoogblokland";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Hooge Mierde";"Reusel-De Mierden                  ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hooge Zwaluwe";"Drimmelen                          ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hoogeloon";"Bladel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hoogenweg";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Hoogerheide";"Woensdrecht                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hoogersmilde";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Hoogersmilde";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Hoogeveen";"Hoogeveen                          ";"Drenthe                  ";"Noord-Nederland          "
"Hoogezand";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Hooghalen";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Hoogkarspel";"Drechterland                       ";"Noord-Holland            ";"West-Nederland           "
"Hoog-Keppel";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Hoogland";"Amersfoort                         ";"Utrecht                  ";"West-Nederland           "
"Hooglanderveen";"Amersfoort                         ";"Utrecht                  ";"West-Nederland           "
"Hoogmade";"Kaag en Braassem                   ";"Zuid-Holland             ";"West-Nederland           "
"Hoogvliet Rotterdam";"Rotterdam                          ";"Zuid-Holland             ";"West-Nederland           "
"Hoogwoud";"Opmeer                             ";"Noord-Holland            ";"West-Nederland           "
"Hoorn";"Terschelling                       ";"Friesland                ";"Noord-Nederland          "
"Hoorn";"Hoorn                              ";"Noord-Holland            ";"West-Nederland           "
"Den Hoorn";"Midden-Delfland                    ";"Zuid-Holland             ";"West-Nederland           "
"Den Hoorn";"Texel                              ";"Noord-Holland            ";"West-Nederland           "
"Hoornaar";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Hoornsterzwaag";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Horn";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Den Horn";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Hornhuizen";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Horssen";"Druten                             ";"Gelderland               ";"Oost-Nederland           "
"Horst";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Den Hout";"Oosterhout                         ";"Noord-Brabant            ";"Zuid-Nederland           "
"Houten";"Houten                             ";"Utrecht                  ";"West-Nederland           "
"Houtigehage";"Smallingerland                     ";"Friesland                ";"Noord-Nederland          "
"Houwerzijl";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Huijbergen";"Woensdrecht                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Huis ter Heide";"Zeist                              ";"Utrecht                  ";"West-Nederland           "
"Huis ter Heide";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Huisduinen";"Den Helder                         ";"Noord-Holland            ";"West-Nederland           "
"Huisseling";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Huissen";"Lingewaard                         ";"Gelderland               ";"Oost-Nederland           "
"Huizen";"Huizen                             ";"Noord-Holland            ";"West-Nederland           "
"Huizinge";"Loppersum                          ";"Groningen                ";"Noord-Nederland          "
"Hulsberg";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Hulsel";"Reusel-De Mierden                  ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hulshorst";"Nunspeet                           ";"Gelderland               ";"Oost-Nederland           "
"Hulst";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Hulten";"Gilze en Rijen                     ";"Noord-Brabant            ";"Zuid-Nederland           "
"Hummelo";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Húns";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Hunsel";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Hurdegaryp";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Hurwenen";"Maasdriel                          ";"Gelderland               ";"Oost-Nederland           "
"Idaerd";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Idsegahuizum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Idskenhuizen";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Ter Idzard";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Idzega";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Iens";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"IJhorst";"Staphorst                          ";"Overijssel               ";"Oost-Nederland           "
"IJlst";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"IJmuiden";"Velsen                             ";"Noord-Holland            ";"West-Nederland           "
"IJsselham";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"IJsselmuiden";"Kampen                             ";"Overijssel               ";"Oost-Nederland           "
"IJsselstein";"IJsselstein                        ";"Utrecht                  ";"West-Nederland           "
"IJzendijke";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"IJzendoorn";"Neder-Betuwe                       ";"Gelderland               ";"Oost-Nederland           "
"Den Ilp";"Landsmeer                          ";"Noord-Holland            ";"West-Nederland           "
"Ilpendam";"Waterland                          ";"Noord-Holland            ";"West-Nederland           "
"Indijk";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Ingber";"Gulpen-Wittem                      ";"Limburg                  ";"Zuid-Nederland           "
"Ingelum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Ingen";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Itens";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Ittervoort";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Jaarsveld";"Lopik                              ";"Utrecht                  ";"West-Nederland           "
"Jabeek";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Jannum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Jellum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Jelsum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Jirnsum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Jislum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Jisp";"Wormerland                         ";"Noord-Holland            ";"West-Nederland           "
"Jistrum";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Jonkerslân";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Jonkersvaart";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Joppe";"Lochem                             ";"Gelderland               ";"Oost-Nederland           "
"Jorwert";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Joure";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Jouswier";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Jubbega";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Julianadorp";"Den Helder                         ";"Noord-Holland            ";"West-Nederland           "
"Jutrijp";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Kaag";"Kaag en Braassem                   ";"Zuid-Holland             ";"West-Nederland           "
"Kaard";"Terschelling                       ";"Friesland                ";"Noord-Nederland          "
"Kaatsheuvel";"Loon op Zand                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Kalenberg";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Kallenkote";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Kamerik";"Woerden                            ";"Utrecht                  ";"West-Nederland           "
