,Woonplaatsen,Gemeente,Provincie,Landsdeel
445,Lauwerzijl,Westerkwartier,Groningen,Noord-Nederland
446,Ledeacker,SintAnthonis,Noord-Brabant,Zuid-Nederland
447,Leek,Westerkwartier,Groningen,Noord-Nederland
448,Leende,Heeze-Leende,Noord-Brabant,Zuid-Nederland
449,Leens,HetHogeland,Groningen,Noord-Nederland
450,Leerbroek,Vijfheerenlanden,Utrecht,West-Nederland
451,Leerdam,Vijfheerenlanden,Utrecht,West-Nederland
452,Leermens,Loppersum,Groningen,Noord-Nederland
453,Leersum,UtrechtseHeuvelrug,Utrecht,West-Nederland
454,Leeuwarden,Leeuwarden,Friesland,Noord-Nederland
455,Legemeer,DeFryskeMarren,Friesland,Noord-Nederland
456,Leiden,Leiden,Zuid-Holland,West-Nederland
457,Leiderdorp,Leiderdorp,Zuid-Holland,West-Nederland
458,Leidschendam,Leidschendam-Voorburg,Zuid-Holland,West-Nederland
459,Leimuiden,KaagenBraassem,Zuid-Holland,West-Nederland
460,Leimuiderbrug,Haarlemmermeer,Noord-Holland,West-Nederland
461,Lekkerkerk,Krimpenerwaard,Zuid-Holland,West-Nederland
462,Lekkum,Leeuwarden,Friesland,Noord-Nederland
463,Lellens,Groningen,Groningen,Noord-Nederland
464,Lelystad,Lelystad,Flevoland,Oost-Nederland
465,Lemele,Ommen,Overijssel,Oost-Nederland
466,Lemelerveld,Dalfsen,Overijssel,Oost-Nederland
467,Lemiers,Vaals,Limburg,Zuid-Nederland
468,Lemmer,DeFryskeMarren,Friesland,Noord-Nederland
469,Lengel,Montferland,Gelderland,Oost-Nederland
470,Lent,Nijmegen,Gelderland,Oost-Nederland
471,Leons,Leeuwarden,Friesland,Noord-Nederland
472,Lepelstraat,BergenopZoom,Noord-Brabant,Zuid-Nederland
473,Lettelbert,Westerkwartier,Groningen,Noord-Nederland
474,Lettele,Deventer,Overijssel,Oost-Nederland
475,Leunen,Venray,Limburg,Zuid-Nederland
476,Leur,Wijchen,Gelderland,Oost-Nederland
477,Leusden,Leusden,Utrecht,West-Nederland
478,Leuth,BergenDal,Gelderland,Oost-Nederland
479,Leutingewolde,Noordenveld,Drenthe,Noord-Nederland
480,Leuvenheim,Brummen,Gelderland,Oost-Nederland
481,Leveroy,Nederweert,Limburg,Zuid-Nederland
482,Lewedorp,Borsele,Zeeland,West-Nederland
483,Lexmond,Vijfheerenlanden,Utrecht,West-Nederland
484,Lichtaard,Noardeast-Fryslân,Friesland,Noord-Nederland
485,Lichtenvoorde,OostGelre,Gelderland,Oost-Nederland
486,Liempde,Boxtel,Noord-Brabant,Zuid-Nederland
487,Lienden,Buren,Gelderland,Oost-Nederland
488,De Lier,Westland,Zuid-Holland,West-Nederland
489,Lierderholthuis,Raalte,Overijssel,Oost-Nederland
490,Lieren,Apeldoorn,Gelderland,Oost-Nederland
491,Lierop,Someren,Noord-Brabant,Zuid-Nederland
492,Lies,Terschelling,Friesland,Noord-Nederland
493,Lieshout,Laarbeek,Noord-Brabant,Zuid-Nederland
494,Liessel,Deurne,Noord-Brabant,Zuid-Nederland
495,Lievelde,OostGelre,Gelderland,Oost-Nederland
496,Lieveren,Noordenveld,Drenthe,Noord-Nederland
497,Lijnden,Haarlemmermeer,Noord-Holland,West-Nederland
498,Limbricht,Sittard-Geleen,Limburg,Zuid-Nederland
499,Limmen,Castricum,Noord-Holland,West-Nederland
500,Linde,DeWolden,Drenthe,Noord-Nederland
501,Linden,Cuijk,Noord-Brabant,Zuid-Nederland
502,Linne,Maasgouw,Limburg,Zuid-Nederland
503,Linschoten,Montfoort,Utrecht,West-Nederland
504,Bron: CBS,,,
505,Ureterp,Opsterland,Friesland,Noord-Nederland
506,Urk,Urk,Flevoland,Oost-Nederland
507,Urmond,Stein,Limburg,Zuid-Nederland
508,Ursem,Alkmaar,Noord-Holland,West-Nederland
509,Ursem,Koggenland,Noord-Holland,West-Nederland
510,Usquert,HetHogeland,Groningen,Noord-Nederland
511,Utrecht,Utrecht,Utrecht,West-Nederland
512,Vaals,Vaals,Limburg,Zuid-Nederland
513,Vaassen,Epe,Gelderland,Oost-Nederland
514,Valburg,Overbetuwe,Gelderland,Oost-Nederland
515,Valkenburg,Katwijk,Zuid-Holland,West-Nederland
516,Valkenburg,ValkenburgaandeGeul,Limburg,Zuid-Nederland
517,Valkenswaard,Valkenswaard,Noord-Brabant,Zuid-Nederland
518,Valthe,Borger-Odoorn,Drenthe,Noord-Nederland
519,Valthermond,Borger-Odoorn,Drenthe,Noord-Nederland
520,2e Valthermond,Borger-Odoorn,Drenthe,Noord-Nederland
521,Varik,WestBetuwe,Gelderland,Oost-Nederland
522,Varsselder,OudeIJsselstreek,Gelderland,Oost-Nederland
523,Varsseveld,OudeIJsselstreek,Gelderland,Oost-Nederland
524,Vasse,Tubbergen,Overijssel,Oost-Nederland
525,Veelerveen,Westerwolde,Groningen,Noord-Nederland
526,Veen,Altena,Noord-Brabant,Zuid-Nederland
527,Veendam,Veendam,Groningen,Noord-Nederland
528,Veenendaal,Veenendaal,Utrecht,West-Nederland
529,De Veenhoop,Smallingerland,Friesland,Noord-Nederland
530,Veenhuizen,Noordenveld,Drenthe,Noord-Nederland
531,Veeningen,DeWolden,Drenthe,Noord-Nederland
532,Veenklooster,Noardeast-Fryslân,Friesland,Noord-Nederland
533,Veenoord,Emmen,Drenthe,Noord-Nederland
534,Veere,Veere,Zeeland,West-Nederland
535,Veessen,Heerde,Gelderland,Oost-Nederland
536,Vegelinsoord,DeFryskeMarren,Friesland,Noord-Nederland
537,Veghel,Meierijstad,Noord-Brabant,Zuid-Nederland
538,'t Veld,HollandsKroon,Noord-Holland,West-Nederland
539,Velddriel,Maasdriel,Gelderland,Oost-Nederland
540,Den Velde,Hardenberg,Overijssel,Oost-Nederland
541,Velden,Venlo,Limburg,Zuid-Nederland
542,Veldhoven,Veldhoven,Noord-Brabant,Zuid-Nederland
543,Velp,Grave,Noord-Brabant,Zuid-Nederland
544,Velp,Rheden,Gelderland,Oost-Nederland
545,Velsen-Noord,Velsen,Noord-Holland,West-Nederland
546,Velsen-Zuid,Velsen,Noord-Holland,West-Nederland
547,Velserbroek,Velsen,Noord-Holland,West-Nederland
548,Venebrugge,Hardenberg,Overijssel,Oost-Nederland
549,Venhorst,Boekel,Noord-Brabant,Zuid-Nederland
550,Venhuizen,Drechterland,Noord-Holland,West-Nederland
551,Venlo,Venlo,Limburg,Zuid-Nederland
552,Venray,Venray,Limburg,Zuid-Nederland
553,Ven-Zelderheide,Gennep,Limburg,Zuid-Nederland
554,Vessem,Eersel,Noord-Brabant,Zuid-Nederland
555,Vethuizen,Montferland,Gelderland,Oost-Nederland
556,Veulen,Venray,Limburg,Zuid-Nederland
557,Vianen,Vijfheerenlanden,Utrecht,West-Nederland
558,Vianen NB,Cuijk,Noord-Brabant,Zuid-Nederland
559,Vierakker,Bronckhorst,Gelderland,Oost-Nederland
560,Vierhouten,Nunspeet,Gelderland,Oost-Nederland
561,Vierhuizen,HetHogeland,Groningen,Noord-Nederland
562,Vierlingsbeek,Boxmeer,Noord-Brabant,Zuid-Nederland
563,Vierpolders,Brielle,Zuid-Holland,West-Nederland
564,Vijfhuizen,Haarlemmermeer,Noord-Holland,West-Nederland
565,Vijlen,Vaals,Limburg,Zuid-Nederland
566,Vilsteren,Ommen,Overijssel,Oost-Nederland
567,Vinkega,Weststellingwerf,Friesland,Noord-Nederland
568,Vinkel,Bernheze,Noord-Brabant,Zuid-Nederland
569,Vinkel,'s-Hertogenbosch,Noord-Brabant,Zuid-Nederland
570,Vinkenbuurt,Ommen,Overijssel,Oost-Nederland
571,Vinkeveen,DeRondeVenen,Utrecht,West-Nederland
572,Visvliet,Westerkwartier,Groningen,Noord-Nederland
573,Vlaardingen,Vlaardingen,Zuid-Holland,West-Nederland
574,Vlagtwedde,Westerwolde,Groningen,Noord-Nederland
575,Vledder,Westerveld,Drenthe,Noord-Nederland
576,Vledderveen,Westerveld,Drenthe,Noord-Nederland
577,Vledderveen,Stadskanaal,Groningen,Noord-Nederland
578,Vleuten,Utrecht,Utrecht,West-Nederland
579,Vlieland,Vlieland,Friesland,Noord-Nederland
580,Vlierden,Deurne,Noord-Brabant,Zuid-Nederland
581,Vlijmen,Heusden,Noord-Brabant,Zuid-Nederland
582,Vlissingen,Vlissingen,Zeeland,West-Nederland
583,Vlist,Krimpenerwaard,Zuid-Holland,West-Nederland
584,Vlodrop,Roerdalen,Limburg,Zuid-Nederland
585,Voerendaal,Voerendaal,Limburg,Zuid-Nederland
586,Vogelenzang,Bloemendaal,Noord-Holland,West-Nederland
587,Vogelwaarde,Hulst,Zeeland,West-Nederland
588,Volendam,Edam-Volendam,Noord-Holland,West-Nederland
589,Volkel,Uden,Noord-Brabant,Zuid-Nederland
590,Vollenhove,Steenwijkerland,Overijssel,Oost-Nederland
591,Vondelingenplaat Rotterdam,Rotterdam,Zuid-Holland,West-Nederland
592,Voorburg,Leidschendam-Voorburg,Zuid-Holland,West-Nederland
593,Voorhout,Teylingen,Zuid-Holland,West-Nederland
594,Voorschoten,Voorschoten,Zuid-Holland,West-Nederland
595,Voorst,OudeIJsselstreek,Gelderland,Oost-Nederland
596,Voorst,Voorst,Gelderland,Oost-Nederland
597,Voorthuizen,Barneveld,Gelderland,Oost-Nederland
598,Vorchten,Heerde,Gelderland,Oost-Nederland
599,Vorden,Bronckhorst,Gelderland,Oost-Nederland
600,Vorstenbosch,Bernheze,Noord-Brabant,Zuid-Nederland
601,Vortum-Mullem,Boxmeer,Noord-Brabant,Zuid-Nederland
602,Vragender,OostGelre,Gelderland,Oost-Nederland
603,Vredenheim,AaenHunze,Drenthe,Noord-Nederland
604,Vredepeel,Venray,Limburg,Zuid-Nederland
605,Bron: CBS,,,
606,Heesch,Bernheze,Noord-Brabant,Zuid-Nederland
607,Heesselt,WestBetuwe,Gelderland,Oost-Nederland
608,Heeswijk-Dinther,Bernheze,Noord-Brabant,Zuid-Nederland
609,Heeten,Raalte,Overijssel,Oost-Nederland
610,Heeze,Heeze-Leende,Noord-Brabant,Zuid-Nederland
611,Hegebeintum,Noardeast-Fryslân,Friesland,Noord-Nederland
612,Hegelsom,HorstaandeMaas,Limburg,Zuid-Nederland
613,Hei- en Boeicop,Vijfheerenlanden,Utrecht,West-Nederland
614,Heibloem,Leudal,Limburg,Zuid-Nederland
615,Heide,Venray,Limburg,Zuid-Nederland
616,It Heidenskip,Súdwest-Fryslân,Friesland,Noord-Nederland
617,Ter Heijde,Westland,Zuid-Holland,West-Nederland
618,Heijen,Gennep,Limburg,Zuid-Nederland
619,Heijenrath,Gulpen-Wittem,Limburg,Zuid-Nederland
620,Heijningen,Moerdijk,Noord-Brabant,Zuid-Nederland
621,Heikant,Hulst,Zeeland,West-Nederland
622,Heilig Landstichting,BergenDal,Gelderland,Oost-Nederland
623,Heiligerlee,Oldambt,Groningen,Noord-Nederland
624,Heiloo,Heiloo,Noord-Holland,West-Nederland
625,Heinenoord,HoekscheWaard,Zuid-Holland,West-Nederland
626,Heinkenszand,Borsele,Zeeland,West-Nederland
627,Heino,Raalte,Overijssel,Oost-Nederland
628,Hekelingen,Nissewaard,Zuid-Holland,West-Nederland
629,Hekendorp,Oudewater,Utrecht,West-Nederland
630,Helden,PeelenMaas,Limburg,Zuid-Nederland
631,Den Helder,DenHelder,Noord-Holland,West-Nederland
632,Helenaveen,Deurne,Noord-Brabant,Zuid-Nederland
633,Hellendoorn,Hellendoorn,Overijssel,Oost-Nederland
634,Hellevoetsluis,Hellevoetsluis,Zuid-Holland,West-Nederland
635,Hellouw,WestBetuwe,Gelderland,Oost-Nederland
636,Hellum,Midden-Groningen,Groningen,Noord-Nederland
637,Helmond,Helmond,Noord-Brabant,Zuid-Nederland
638,Helvoirt,Haaren,Noord-Brabant,Zuid-Nederland
639,Hem,Drechterland,Noord-Holland,West-Nederland
640,Hemelum,Súdwest-Fryslân,Friesland,Noord-Nederland
641,Hemmen,Overbetuwe,Gelderland,Oost-Nederland
642,Hempens,Leeuwarden,Friesland,Noord-Nederland
643,Hemrik,Opsterland,Friesland,Noord-Nederland
644,Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,Zuid-Holland,West-Nederland
645,Hengelo,Hengelo,Overijssel,Oost-Nederland
646,Hengelo (Gld),Bronckhorst,Gelderland,Oost-Nederland
647,Hengevelde,HofvanTwente,Overijssel,Oost-Nederland
648,Hengstdijk,Hulst,Zeeland,West-Nederland
649,Hensbroek,Koggenland,Noord-Holland,West-Nederland
650,Herbaijum,Waadhoeke,Friesland,Noord-Nederland
651,Herkenbosch,Roerdalen,Limburg,Zuid-Nederland
652,Herkingen,Goeree-Overflakkee,Zuid-Holland,West-Nederland
653,Hernen,Wijchen,Gelderland,Oost-Nederland
654,Herpen,Oss,Noord-Brabant,Zuid-Nederland
655,Herpt,Heusden,Noord-Brabant,Zuid-Nederland
656,Herten,Roermond,Limburg,Zuid-Nederland
657,Hertme,Borne,Overijssel,Oost-Nederland
658,'s-Hertogenbosch,'s-Hertogenbosch,Noord-Brabant,Zuid-Nederland
659,Herveld,Overbetuwe,Gelderland,Oost-Nederland
660,Herwen,Zevenaar,Gelderland,Oost-Nederland
661,Herwijnen,WestBetuwe,Gelderland,Oost-Nederland
662,Heteren,Overbetuwe,Gelderland,Oost-Nederland
663,Heukelom,Oisterwijk,Noord-Brabant,Zuid-Nederland
664,Heukelum,WestBetuwe,Gelderland,Oost-Nederland
665,Heumen,Heumen,Gelderland,Oost-Nederland
666,De Heurne,Aalten,Gelderland,Oost-Nederland
667,Heusden,Heusden,Noord-Brabant,Zuid-Nederland
668,Heusden,Asten,Noord-Brabant,Zuid-Nederland
669,Heveadorp,Renkum,Gelderland,Oost-Nederland
670,Heythuysen,Leudal,Limburg,Zuid-Nederland
671,Hezingen,Tubbergen,Overijssel,Oost-Nederland
672,Hiaure,Noardeast-Fryslân,Friesland,Noord-Nederland
673,Hichtum,Súdwest-Fryslân,Friesland,Noord-Nederland
674,Hidaard,Súdwest-Fryslân,Friesland,Noord-Nederland
675,Hierden,Harderwijk,Gelderland,Oost-Nederland
676,Hieslum,Súdwest-Fryslân,Friesland,Noord-Nederland
677,Hijken,Midden-Drenthe,Drenthe,Noord-Nederland
678,Hijum,Leeuwarden,Friesland,Noord-Nederland
679,Hilaard,Leeuwarden,Friesland,Noord-Nederland
680,Hillegom,Hillegom,Zuid-Holland,West-Nederland
681,Hilvarenbeek,Hilvarenbeek,Noord-Brabant,Zuid-Nederland
682,Hilversum,Hilversum,Noord-Holland,West-Nederland
683,Hindeloopen,Súdwest-Fryslân,Friesland,Noord-Nederland
684,Hinnaard,Súdwest-Fryslân,Friesland,Noord-Nederland
685,Hippolytushoef,HollandsKroon,Noord-Holland,West-Nederland
686,Hitzum,Waadhoeke,Friesland,Noord-Nederland
687,Hobrede,Edam-Volendam,Noord-Holland,West-Nederland
688,Hoedekenskerke,Borsele,Zeeland,West-Nederland
689,de Hoef,DeRondeVenen,Utrecht,West-Nederland
690,Hoef en Haag,Vijfheerenlanden,Utrecht,West-Nederland
691,Hoek,Terneuzen,Zeeland,West-Nederland
692,Hoek van Holland,Rotterdam,Zuid-Holland,West-Nederland
693,Hoenderloo,Apeldoorn,Gelderland,Oost-Nederland
694,Hoenderloo,Ede,Gelderland,Oost-Nederland
695,Hoensbroek,Heerlen,Limburg,Zuid-Nederland
696,Hoenzadriel,Maasdriel,Gelderland,Oost-Nederland
697,De Hoeve,Weststellingwerf,Friesland,Noord-Nederland
698,Hoevelaken,Nijkerk,Gelderland,Oost-Nederland
699,Hoeven,Halderberge,Noord-Brabant,Zuid-Nederland
700,Hoge Hexel,Wierden,Overijssel,Oost-Nederland
701,Hollandsche Rading,DeBilt,Utrecht,West-Nederland
702,Hollandscheveld,Hoogeveen,Drenthe,Noord-Nederland
703,Hollum,Ameland,Friesland,Noord-Nederland
704,Holsloot,Coevorden,Drenthe,Noord-Nederland
705,Holten,Rijssen-Holten,Overijssel,Oost-Nederland
706,Bron: CBS,,,
707,Ossenisse,Hulst,Zeeland,West-Nederland
708,Ossenwaard,Vijfheerenlanden,Utrecht,West-Nederland
709,Ossenzijl,Steenwijkerland,Overijssel,Oost-Nederland
710,Oterleek,Alkmaar,Noord-Holland,West-Nederland
711,Otterlo,Ede,Gelderland,Oost-Nederland
712,Ottersum,Gennep,Limburg,Zuid-Nederland
713,Ottoland,Molenlanden,Zuid-Holland,West-Nederland
714,Oud Ade,KaagenBraassem,Zuid-Holland,West-Nederland
715,Oud Annerveen,AaenHunze,Drenthe,Noord-Nederland
716,Oud Gastel,Halderberge,Noord-Brabant,Zuid-Nederland
717,Oud Ootmarsum,Dinkelland,Overijssel,Oost-Nederland
718,Oud Zuilen,StichtseVecht,Utrecht,West-Nederland
719,Oud-Alblas,Molenlanden,Zuid-Holland,West-Nederland
720,Oud-Beijerland,HoekscheWaard,Zuid-Holland,West-Nederland
721,Ouddorp,Goeree-Overflakkee,Zuid-Holland,West-Nederland
722,Oude Meer,Haarlemmermeer,Noord-Holland,West-Nederland
723,Oude Niedorp,HollandsKroon,Noord-Holland,West-Nederland
724,Oude Pekela,Pekela,Groningen,Noord-Nederland
725,Oude Wetering,KaagenBraassem,Zuid-Holland,West-Nederland
726,Oude Willem,Westerveld,Drenthe,Noord-Nederland
727,Oudebildtzijl,Waadhoeke,Friesland,Noord-Nederland
728,Oudega,Smallingerland,Friesland,Noord-Nederland
729,Oudega,DeFryskeMarren,Friesland,Noord-Nederland
730,Oudega,Súdwest-Fryslân,Friesland,Noord-Nederland
731,Oudehaske,DeFryskeMarren,Friesland,Noord-Nederland
732,Oudehorne,Heerenveen,Friesland,Noord-Nederland
733,Oudelande,Borsele,Zeeland,West-Nederland
734,Oudemirdum,DeFryskeMarren,Friesland,Noord-Nederland
735,Oudemolen,Moerdijk,Noord-Brabant,Zuid-Nederland
736,Oudemolen,Tynaarlo,Drenthe,Noord-Nederland
737,Oudenbosch,Halderberge,Noord-Brabant,Zuid-Nederland
738,Oudendijk,Koggenland,Noord-Holland,West-Nederland
739,Oudenhoorn,Hellevoetsluis,Zuid-Holland,West-Nederland
740,Ouderkerk aan de Amstel,Ouder-Amstel,Noord-Holland,West-Nederland
741,Ouderkerk aan den IJssel,Krimpenerwaard,Zuid-Holland,West-Nederland
742,Oudeschans,Westerwolde,Groningen,Noord-Nederland
743,Oudeschild,Texel,Noord-Holland,West-Nederland
744,Oudeschip,HetHogeland,Groningen,Noord-Nederland
745,Oudeschoot,Heerenveen,Friesland,Noord-Nederland
746,Oudesluis,Schagen,Noord-Holland,West-Nederland
747,Oude-Tonge,Goeree-Overflakkee,Zuid-Holland,West-Nederland
748,Oudewater,Oudewater,Utrecht,West-Nederland
749,Oudezijl,Oldambt,Groningen,Noord-Nederland
750,Oudheusden,Heusden,Noord-Brabant,Zuid-Nederland
751,Oudkarspel,Schagen,Noord-Holland,West-Nederland
752,Oudkarspel,Langedijk,Noord-Holland,West-Nederland
753,Oudorp,Alkmaar,Noord-Holland,West-Nederland
754,Oud-Vossemeer,Tholen,Zeeland,West-Nederland
755,Oudwoude,Noardeast-Fryslân,Friesland,Noord-Nederland
756,Ouwerkerk,Schouwen-Duiveland,Zeeland,West-Nederland
757,Ouwsterhaule,DeFryskeMarren,Friesland,Noord-Nederland
758,Ouwster-Nijega,DeFryskeMarren,Friesland,Noord-Nederland
759,Overasselt,Heumen,Gelderland,Oost-Nederland
760,Overberg,UtrechtseHeuvelrug,Utrecht,West-Nederland
761,Overdinkel,Losser,Overijssel,Oost-Nederland
762,Overlangel,Oss,Noord-Brabant,Zuid-Nederland
763,Overloon,Boxmeer,Noord-Brabant,Zuid-Nederland
764,Overschild,Midden-Groningen,Groningen,Noord-Nederland
765,Overslag,Terneuzen,Zeeland,West-Nederland
766,Overveen,Bloemendaal,Noord-Holland,West-Nederland
767,Ovezande,Borsele,Zeeland,West-Nederland
768,Paasloo,Steenwijkerland,Overijssel,Oost-Nederland
769,Paesens,Noardeast-Fryslân,Friesland,Noord-Nederland
770,Pannerden,Zevenaar,Gelderland,Oost-Nederland
771,Panningen,PeelenMaas,Limburg,Zuid-Nederland
772,Papekop,Oudewater,Utrecht,West-Nederland
773,Papendrecht,Papendrecht,Zuid-Holland,West-Nederland
774,Papenhoven,Sittard-Geleen,Limburg,Zuid-Nederland
775,Papenvoort,AaenHunze,Drenthe,Noord-Nederland
776,Parrega,Súdwest-Fryslân,Friesland,Noord-Nederland
777,Paterswolde,Tynaarlo,Drenthe,Noord-Nederland
778,Peest,Noordenveld,Drenthe,Noord-Nederland
779,Peins,Waadhoeke,Friesland,Noord-Nederland
780,Peize,Noordenveld,Drenthe,Noord-Nederland
781,Peperga,Weststellingwerf,Friesland,Noord-Nederland
782,Pernis Rotterdam,Rotterdam,Zuid-Holland,West-Nederland
783,Persingen,BergenDal,Gelderland,Oost-Nederland
784,Pesse,Westerveld,Drenthe,Noord-Nederland
785,Pesse,Hoogeveen,Drenthe,Noord-Nederland
786,Petten,Schagen,Noord-Holland,West-Nederland
787,Philippine,Terneuzen,Zeeland,West-Nederland
788,Piaam,Súdwest-Fryslân,Friesland,Noord-Nederland
789,Piershil,HoekscheWaard,Zuid-Holland,West-Nederland
790,Pieterburen,HetHogeland,Groningen,Noord-Nederland
791,Pietersbierum,Waadhoeke,Friesland,Noord-Nederland
792,Pieterzijl,Westerkwartier,Groningen,Noord-Nederland
793,Pijnacker,Pijnacker-Nootdorp,Zuid-Holland,West-Nederland
794,Pingjum,Súdwest-Fryslân,Friesland,Noord-Nederland
795,Plasmolen,MookenMiddelaar,Limburg,Zuid-Nederland
796,Poederoijen,Zaltbommel,Gelderland,Oost-Nederland
797,Poeldijk,Westland,Zuid-Holland,West-Nederland
798,De Pol,Steenwijkerland,Overijssel,Oost-Nederland
799,Polsbroek,Lopik,Utrecht,West-Nederland
800,Poortugaal,Albrandswaard,Zuid-Holland,West-Nederland
801,Poortvliet,Tholen,Zeeland,West-Nederland
802,Poppenwier,Súdwest-Fryslân,Friesland,Noord-Nederland
803,Ten Post,Groningen,Groningen,Noord-Nederland
804,Posterholt,Roerdalen,Limburg,Zuid-Nederland
805,Prinsenbeek,Breda,Noord-Brabant,Zuid-Nederland
806,Puiflijk,Druten,Gelderland,Oost-Nederland
807,Bron: CBS,,,
808,Grolloo,AaenHunze,Drenthe,Noord-Nederland
809,Groningen,Groningen,Groningen,Noord-Nederland
810,Gronsveld,Eijsden-Margraten,Limburg,Zuid-Nederland
811,Groot-Ammers,Molenlanden,Zuid-Holland,West-Nederland
812,Grootebroek,StedeBroec,Noord-Holland,West-Nederland
813,Grootegast,Westerkwartier,Groningen,Noord-Nederland
814,Grootschermer,Alkmaar,Noord-Holland,West-Nederland
815,Grou,Leeuwarden,Friesland,Noord-Nederland
816,Grubbenvorst,HorstaandeMaas,Limburg,Zuid-Nederland
817,Gulpen,Gulpen-Wittem,Limburg,Zuid-Nederland
818,Guttecoven,Sittard-Geleen,Limburg,Zuid-Nederland
819,Gytsjerk,Tytsjerksteradiel,Friesland,Noord-Nederland
820,Haaften,WestBetuwe,Gelderland,Oost-Nederland
821,Haaksbergen,Haaksbergen,Overijssel,Oost-Nederland
822,Haalderen,Lingewaard,Gelderland,Oost-Nederland
823,'t Haantje,Coevorden,Drenthe,Noord-Nederland
824,Haaren,Haaren,Noord-Brabant,Zuid-Nederland
825,Haarle,Tubbergen,Overijssel,Oost-Nederland
826,Haarle,Hellendoorn,Overijssel,Oost-Nederland
827,Haarlem,Haarlem,Noord-Holland,West-Nederland
828,Haarlemmerliede,Haarlemmermeer,Noord-Holland,West-Nederland
829,Haarlo,Berkelland,Gelderland,Oost-Nederland
830,Haarsteeg,Heusden,Noord-Brabant,Zuid-Nederland
831,Haarzuilens,Utrecht,Utrecht,West-Nederland
832,Haastrecht,Krimpenerwaard,Zuid-Holland,West-Nederland
833,Haelen,Leudal,Limburg,Zuid-Nederland
834,Hagestein,Vijfheerenlanden,Utrecht,West-Nederland
835,Haghorst,Hilvarenbeek,Noord-Brabant,Zuid-Nederland
836,Haler,Leudal,Limburg,Zuid-Nederland
837,Halfweg,Haarlemmermeer,Noord-Holland,West-Nederland
838,Hall,Brummen,Gelderland,Oost-Nederland
839,Halle,Bronckhorst,Gelderland,Oost-Nederland
840,Hallum,Noardeast-Fryslân,Friesland,Noord-Nederland
841,Halsteren,BergenopZoom,Noord-Brabant,Zuid-Nederland
842,Den Ham,Twenterand,Overijssel,Oost-Nederland
843,Den Ham,Westerkwartier,Groningen,Noord-Nederland
844,Handel,Gemert-Bakel,Noord-Brabant,Zuid-Nederland
845,Hank,Altena,Noord-Brabant,Zuid-Nederland
846,Hansweert,Reimerswaal,Zeeland,West-Nederland
847,Hantum,Noardeast-Fryslân,Friesland,Noord-Nederland
848,Hantumeruitburen,Noardeast-Fryslân,Friesland,Noord-Nederland
849,Hantumhuizen,Noardeast-Fryslân,Friesland,Noord-Nederland
850,Hapert,Bladel,Noord-Brabant,Zuid-Nederland
851,Haps,Cuijk,Noord-Brabant,Zuid-Nederland
852,Harbrinkhoek,Tubbergen,Overijssel,Oost-Nederland
853,'t Harde,Elburg,Gelderland,Oost-Nederland
854,Hardenberg,Hardenberg,Overijssel,Oost-Nederland
855,Harderwijk,Harderwijk,Gelderland,Oost-Nederland
856,Hardinxveld-Giessendam,Hardinxveld-Giessendam,Zuid-Holland,West-Nederland
857,Haren,Oss,Noord-Brabant,Zuid-Nederland
858,Haren Gn,Groningen,Groningen,Noord-Nederland
859,Harfsen,Lochem,Gelderland,Oost-Nederland
860,Harich,DeFryskeMarren,Friesland,Noord-Nederland
861,Haringhuizen,HollandsKroon,Noord-Holland,West-Nederland
862,Harkema,Achtkarspelen,Friesland,Noord-Nederland
863,Harkstede,Midden-Groningen,Groningen,Noord-Nederland
864,Harkstede GN,Groningen,Groningen,Noord-Nederland
865,Harlingen,Harlingen,Friesland,Noord-Nederland
866,Harmelen,Woerden,Utrecht,West-Nederland
867,Harreveld,OostGelre,Gelderland,Oost-Nederland
868,Harskamp,Ede,Gelderland,Oost-Nederland
869,Hartwerd,Súdwest-Fryslân,Friesland,Noord-Nederland
870,Haskerdijken,Heerenveen,Friesland,Noord-Nederland
871,Haskerhorne,DeFryskeMarren,Friesland,Noord-Nederland
872,Hasselt,Zwartewaterland,Overijssel,Oost-Nederland
873,Hattem,Hattem,Gelderland,Oost-Nederland
874,Hattemerbroek,Oldebroek,Gelderland,Oost-Nederland
875,Haule,Ooststellingwerf,Friesland,Noord-Nederland
876,Haulerwijk,Ooststellingwerf,Friesland,Noord-Nederland
877,Hauwert,Medemblik,Noord-Holland,West-Nederland
878,Havelte,Westerveld,Drenthe,Noord-Nederland
879,Havelterberg,Westerveld,Drenthe,Noord-Nederland
880,Hazerswoude-Dorp,AlphenaandenRijn,Zuid-Holland,West-Nederland
881,Hazerswoude-Rijndijk,AlphenaandenRijn,Zuid-Holland,West-Nederland
882,Hedel,Maasdriel,Gelderland,Oost-Nederland
883,Hedikhuizen,Heusden,Noord-Brabant,Zuid-Nederland
884,Hee,Terschelling,Friesland,Noord-Nederland
885,Heeg,Súdwest-Fryslân,Friesland,Noord-Nederland
886,Heel,Maasgouw,Limburg,Zuid-Nederland
887,Heelsum,Renkum,Gelderland,Oost-Nederland
888,Heelweg,OudeIJsselstreek,Gelderland,Oost-Nederland
889,Heemserveen,Hardenberg,Overijssel,Oost-Nederland
890,Heemskerk,Heemskerk,Noord-Holland,West-Nederland
891,Heemstede,Heemstede,Noord-Holland,West-Nederland
892,De Heen,Steenbergen,Noord-Brabant,Zuid-Nederland
893,Heenvliet,Nissewaard,Zuid-Holland,West-Nederland
