;Woonplaatsen;Provincie;Landsdeel;Gemeente;Lattitude;Longitude;Population;Coordinates;L1;l2;L3;Lat;L1.1;L1.2;L.1.3;Long;
77;Angerlo;Gelderland;Oost-Nederland           ;Zevenaar                           ;52.0;6.133333333333334;1.380;['51° 60′ NB, 6° 8′ OL'];;;;0;;;;0;
87;Apeldoorn;Gelderland;Oost-Nederland           ;Apeldoorn                          ;52.21666666666667;5.966666666666667;137.085;['52° 13′ NB, 5° 58′ OL'];;;;0;;;;0;
90;Appeltern;Gelderland;Oost-Nederland           ;West Maas en Waal                  ;51.833333333333336;5.583333333333333;795;['51° 50′ NB, 5° 35′ OL'];;;;0;;;;0;
95;Arnhem;Gelderland;Oost-Nederland           ;Arnhem                             ;51.983333333333334;5.916666666666667;161.961? (1.656 inw./km²);['51° 59′ NB, 5° 55′ OL'];;;;0;;;;0;
98;Asch;Gelderland;Oost-Nederland           ;Buren                              ;51.93333333333333;5.316666666666666;385;['51° 56′ NB, 5° 19′ OL'];;;;0;;;;0;
99;Asperen;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.88333333333333;5.1;3.200;['51° 53′ NB, 5° 6′ OL'];;;;0;;;;0;
108;Azewijn;Gelderland;Oost-Nederland           ;Montferland                        ;51.88333333333333;6.3;785;['51° 53′ NB, 6° 18′ OL'];;;;0;;;;0;
111;Baak;Gelderland;Oost-Nederland           ;Bronckhorst                        ;52.083333333333336;6.233333333333333;1.080;['52° 5′ NB, 6° 14′ OL'];;;;0;;;;0;
120;Babberich;Gelderland;Oost-Nederland           ;Zevenaar                           ;51.9;6.116666666666666;1.830 (179 inw./km²);['51° 54′ NB, 6° 7′ OL'];;;;0;;;;0;
129;Balgoij;Gelderland;Oost-Nederland           ;Wijchen                            ;51.78333333333333;5.716666666666667;715 (159 inw./km²);['51° 47′ NB, 5° 43′ OL'];;;;0;;;;0;
140;Barchem;Gelderland;Oost-Nederland           ;Lochem                             ;52.13333333333333;6.45;1.740;['52° 8′ NB, 6° 27′ OL'];;;;0;;;;0;
143;Barneveld;Gelderland;Oost-Nederland           ;Barneveld                          ;52.13333333333333;5.583333333333333;34.300;['52° 8′ NB, 5° 35′ OL'];;;;0;;;;0;
146;Batenburg;Gelderland;Oost-Nederland           ;Wijchen                            ;51.81666666666667;5.633333333333333;635 (83 inw./km²);['51° 49′ NB, 5° 38′ OL'];;;;0;;;;0;
153;Beek;Gelderland;Oost-Nederland           ;Montferland                        ;51.9;6.183333333333334;2.420;['51° 54′ NB, 6° 11′ OL'];;;;0;;;;0;
155;Beek;Gelderland;Oost-Nederland           ;Berg en Dal                        ;51.833333333333336;5.933333333333334;3.650 (828 inw./km²);['51° 50′ NB, 5° 56′ OL'];;;;0;;;;0;
157;Beekbergen;Gelderland;Oost-Nederland           ;Apeldoorn                          ;52.166666666666664;5.966666666666667;4.915 (195 inw./km²);['52° 10′ NB, 5° 58′ OL'];;;;0;;;;0;
158;Beemte Broekland;Gelderland;Oost-Nederland           ;Apeldoorn                          ;;;1050;52° 15′ NB, 5° 59′ OL;;;;0;;;;0;
163;Beesd;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.88333333333333;5.183333333333334;3.315;['51° 53′ NB, 5° 11′ OL'];;;;0;;;;0;
171;Beltrum;Gelderland;Oost-Nederland           ;Berkelland                         ;52.06666666666667;6.566666666666666;2.815 (83 inw./km²);['52° 4′ NB, 6° 34′ OL'];;;;0;;;;0;
174;Bemmel;Gelderland;Oost-Nederland           ;Lingewaard                         ;51.88333333333333;5.883333333333333;12.290 (752 inw./km²);['51° 53′ NB, 5° 53′ OL'];;;;0;;;;0;
175;Beneden-Leeuwen;Gelderland;Oost-Nederland           ;West Maas en Waal                  ;51.88333333333333;5.516666666666667;6.560;['51° 53′ NB, 5° 31′ OL'];;;;0;;;;0;
177;Bennekom;Gelderland;Oost-Nederland           ;Ede                                ;52.0;5.683333333333334;15.080;['51° 60′ NB, 5° 41′ OL'];;;;0;;;;0;
184;Berg en Dal;Gelderland;Oost-Nederland           ;Berg en Dal                        ;;;2435;51° 49′ NB, 5° 55′ OL;;;;0;;;;0;
193;Bergharen;Gelderland;Oost-Nederland           ;Wijchen                            ;51.85;5.666666666666667;1.785 (210 inw./km²);['51° 51′ NB, 5° 40′ OL'];;;;0;;;;0;
203;Bern;Gelderland;Oost-Nederland           ;Zaltbommel                         ;51.75;5.166666666666667;37;['51° 45′ NB, 5° 10′ OL'];;;;0;;;;0;
207;Beuningen Gld;Gelderland;Oost-Nederland           ;Beuningen                          ;;;26054;51° 51′ NB, 5° 45′ OL;;;;0;;;;0;
208;Beusichem;Gelderland;Oost-Nederland           ;Buren                              ;51.95;5.3;3.325;['51° 57′ NB, 5° 18′ OL'];;;;0;;;;0;
255;Borculo;Gelderland;Oost-Nederland           ;Berkelland                         ;52.11666666666667;6.516666666666667;7.810 (140 inw./km²);['52° 7′ NB, 6° 31′ OL'];;;;0;;;;0;
272;Boven-Leeuwen;Gelderland;Oost-Nederland           ;West Maas en Waal                  ;51.88333333333333;5.55;2.240 (344 inw./km²);['51° 53′ NB, 5° 33′ OL'];;;;0;;;;0;
276;Braamt;Gelderland;Oost-Nederland           ;Montferland                        ;51.916666666666664;6.266666666666667;1.330;['51° 55′ NB, 6° 16′ OL'];;;;0;;;;0;
277;Brakel;Gelderland;Oost-Nederland           ;Zaltbommel                         ;51.81666666666667;5.083333333333333;3135;['51° 49′ NB, 5° 5′ OL'];;;;0;;;;0;
281;Bredevoort;Gelderland;Oost-Nederland           ;Aalten                             ;51.95;6.616666666666667;1.485;['51° 57′ NB, 6° 37′ OL'];;;;0;;;;0;
282;Breedenbroek;Gelderland;Oost-Nederland           ;Oude IJsselstreek                  ;51.86666666666667;6.466666666666667;915;['51° 52′ NB, 6° 28′ OL'];;;;0;;;;0;
300;Bronkhorst;Gelderland;Oost-Nederland           ;Bronckhorst                        ;52.083333333333336;6.183333333333334;100;['52° 5′ NB, 6° 11′ OL'];;;;0;;;;0;
304;Bruchem;Gelderland;Oost-Nederland           ;Zaltbommel                         ;51.78333333333333;5.233333333333333;1.795;['51° 47′ NB, 5° 14′ OL'];;;;0;;;;0;
309;Brummen;Gelderland;Oost-Nederland           ;Brummen                            ;52.083333333333336;6.15;8.475;['52° 5′ NB, 6° 9′ OL'];;;;0;;;;0;
328;Buren;Gelderland;Oost-Nederland           ;Buren                              ;51.916666666666664;5.333333333333333;2.635 (18 inw./km²);['51° 55′ NB, 5° 20′ OL'];;;;0;;;;0;
337;Buurmalsen;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.9;5.3;1.160;['51° 54′ NB, 5° 18′ OL'];;;;0;;;;0;
338;Buurmalsen;Gelderland;Oost-Nederland           ;Buren                              ;51.9;5.3;1.160;['51° 54′ NB, 5° 18′ OL'];;;;0;;;;0;
360;Culemborg;Gelderland;Oost-Nederland           ;Culemborg                          ;51.95;5.233333333333333;29.020? (991 inw./km²);['51° 57′ NB, 5° 14′ OL'];;;;0;;;;0;
374;Deelen;Gelderland;Oost-Nederland           ;Ede                                ;52.06666666666667;5.866666666666667;100;['52° 4′ NB, 5° 52′ OL'];;;;0;;;;0;
375;Deest;Gelderland;Oost-Nederland           ;Druten                             ;51.88333333333333;5.666666666666667;1.760;"[""51°53'NB, 5°40'OL""]";;;;0;;;;0;
376;Deil;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.88333333333333;5.25;2.100 (266 inw./km²);['51° 53′ NB, 5° 15′ OL'];;;;0;;;;0;
383;Delwijnen;Gelderland;Oost-Nederland           ;Zaltbommel                         ;51.766666666666666;5.183333333333334;391;['51° 46′ NB, 5° 11′ OL'];;;;0;;;;0;
392;Didam;Gelderland;Oost-Nederland           ;Montferland                        ;51.95;6.133333333333334;17.010;['51° 57′ NB, 6° 8′ OL'];;;;0;;;;0;
397;Dieren;Gelderland;Oost-Nederland           ;Rheden                             ;52.05;6.1;13.795;['52° 3′ NB, 6° 6′ OL'];;;;0;;;;0;
404;Dinxperlo;Gelderland;Oost-Nederland           ;Aalten                             ;51.86666666666667;6.483333333333333;7.245;['51° 52′ NB, 6° 29′ OL'];;;;0;;;;0;
408;Dodewaard;Gelderland;Oost-Nederland           ;Neder-Betuwe                       ;51.9;5.65;4.440;['51° 54′ NB, 5° 39′ OL'];;;;0;;;;0;
410;Doesburg;Gelderland;Oost-Nederland           ;Doesburg                           ;;;11028;52° 1′ NB, 6° 8′ OL;;;;0;;;;0;
411;Doetinchem;Gelderland;Oost-Nederland           ;Doetinchem                         ;51.96666666666667;6.283333333333333;45.025;['51° 58′ NB, 6° 17′ OL'];;;;0;;;;0;
424;Doornenburg;Gelderland;Oost-Nederland           ;Lingewaard                         ;51.88333333333333;6.0;2.750 (329 inw./km²);['51° 53′ NB, 5° 60′ OL'];;;;0;;;;0;
425;Doornspijk;Gelderland;Oost-Nederland           ;Elburg                             ;52.416666666666664;5.816666666666666;4.220 (200 inw./km²);['52° 25′ NB, 5° 49′ OL'];;;;0;;;;0;
426;Doorwerth;Gelderland;Oost-Nederland           ;Renkum                             ;51.983333333333334;5.8;4.975;['51° 59′ NB, 5° 48′ OL'];;;;0;;;;0;
433;Drempt;Gelderland;Oost-Nederland           ;Bronckhorst                        ;52.0;6.166666666666667;1.635;['52° 0′ NB, 6° 10′ OL'];;;;0;;;;0;
434;Dreumel;Gelderland;Oost-Nederland           ;West Maas en Waal                  ;51.85;5.433333333333334;3.460;['51° 51′ NB, 5° 26′ OL'];;;;0;;;;0;
440;Driel;Gelderland;Oost-Nederland           ;Overbetuwe                         ;51.96666666666667;5.816666666666666;4.360;['51° 58′ NB, 5° 49′ OL'];;;;0;;;;0;
454;Druten;Gelderland;Oost-Nederland           ;Druten                             ;51.88333333333333;5.6;18.973? (504 inw./km²);['51° 53′ NB, 5° 36′ OL'];;;;0;;;;0;
455;Duiven;Gelderland;Oost-Nederland           ;Duiven                             ;51.95;6.016666666666667;22.205;['51° 57′ NB, 6° 1′ OL'];;;;0;;;;0;
468;Echteld;Gelderland;Oost-Nederland           ;Neder-Betuwe                       ;51.916666666666664;5.5;1.035;['51° 55′ NB, 5° 30′ OL'];;;;0;;;;0;
472;Eck en Wiel;Gelderland;Oost-Nederland           ;Buren                              ;;;1685;51° 58′ NB, 5° 27′ OL;;;;0;;;;0;
475;Ede;Gelderland;Oost-Nederland           ;Ede                                ;52.05;5.666666666666667;74.280;['52° 3′ NB, 5° 40′ OL'];;;;0;;;;0;
476;Ederveen;Gelderland;Oost-Nederland           ;Ede                                ;52.06666666666667;5.583333333333333;3.665;['52° 4′ NB, 5° 35′ OL'];;;;0;;;;0;
479;Eefde;Gelderland;Oost-Nederland           ;Lochem                             ;52.166666666666664;6.216666666666667;4.390;['52° 10′ NB, 6° 13′ OL'];;;;0;;;;0;
489;Eerbeek;Gelderland;Oost-Nederland           ;Brummen                            ;52.1;6.066666666666666;9.720;['52° 6′ NB, 6° 4′ OL'];;;;0;;;;0;
505;Eibergen;Gelderland;Oost-Nederland           ;Berkelland                         ;52.1;6.65;11.265 (162 inw./km²);"[""52°6'NB, 6°39'OL""]";;;;0;;;;0;
511;Elburg;Gelderland;Oost-Nederland           ;Elburg                             ;52.45;5.85;12.100;['52° 27′ NB, 5° 51′ OL'];;;;0;;;;0;
517;Ellecom;Gelderland;Oost-Nederland           ;Rheden                             ;52.03333333333333;6.083333333333333;1.065;['52° 2′ NB, 6° 5′ OL'];;;;0;;;;0;
526;Elspeet;Gelderland;Oost-Nederland           ;Nunspeet                           ;52.28333333333333;5.783333333333333;4.625;['52° 17′ NB, 5° 47′ OL'];;;;0;;;;0;
527;Elst;Gelderland;Oost-Nederland           ;Overbetuwe                         ;51.916666666666664;5.833333333333333;22.160;['51° 55′ NB, 5° 50′ OL'];;;;0;;;;0;
532;Empe;Gelderland;Oost-Nederland           ;Brummen                            ;52.15;6.133333333333334;655;['52° 9′ NB, 6° 8′ OL'];;;;0;;;;0;
533;Emst;Gelderland;Oost-Nederland           ;Epe                                ;52.31666666666667;5.966666666666667;3.260;['52° 19′ NB, 5° 58′ OL'];;;;0;;;;0;
538;Enspijk;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.88333333333333;5.216666666666667;560 (81 inw./km²);['51° 53′ NB, 5° 13′ OL'];;;;0;;;;0;
541;Epe;Gelderland;Oost-Nederland           ;Epe                                ;52.35;5.983333333333333;15.570;['52° 21′ NB, 5° 59′ OL'];;;;0;;;;0;
544;Epse;Gelderland;Oost-Nederland           ;Lochem                             ;52.233333333333334;6.2;2.030;['52° 14′ NB, 6° 12′ OL'];;;;0;;;;0;
546;Erichem;Gelderland;Oost-Nederland           ;Buren                              ;51.9;5.35;505;['51° 54′ NB, 5° 21′ OL'];;;;0;;;;0;
547;Erlecom;Gelderland;Oost-Nederland           ;Berg en Dal                        ;51.85;5.966666666666667;155 (46 inw./km²);['51° 51′ NB, 5° 58′ OL'];;;;0;;;;0;
549;Ermelo;Gelderland;Oost-Nederland           ;Ermelo                             ;52.3;5.633333333333333;26.858;['52° 18′ NB, 5° 38′ OL'];;;;0;;;;0;
555;Est;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.85;5.316666666666666;575 (8.846 inw./km²);['51° 51′ NB, 5° 19′ OL'];;;;0;;;;0;
556;Etten;Gelderland;Oost-Nederland           ;Oude IJsselstreek                  ;51.916666666666664;6.333333333333333;1.895;['51° 55′ NB, 6° 20′ OL'];;;;0;;;;0;
563;Ewijk;Gelderland;Oost-Nederland           ;Beuningen                          ;;;3990;51° 53′ NB, 5° 42′ OL;;;;0;;;;0;
596;Gaanderen;Gelderland;Oost-Nederland           ;Doetinchem                         ;51.93333333333333;6.35;5.560;['51° 56′ NB, 6° 21′ OL'];;;;0;;;;0;
600;Gameren;Gelderland;Oost-Nederland           ;Zaltbommel                         ;51.8;5.2;2634;['51° 48′ NB, 5° 12′ OL'];;;;0;;;;0;
602;Garderen;Gelderland;Oost-Nederland           ;Barneveld                          ;52.233333333333334;5.716666666666667;2.115;['52° 14′ NB, 5° 43′ OL'];;;;0;;;;0;
623;Geesteren;Gelderland;Oost-Nederland           ;Berkelland                         ;52.13333333333333;6.533333333333333;1.355 (68 inw./km²);['52° 8′ NB, 6° 32′ OL'];;;;0;;;;0;
628;Geldermalsen;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.88333333333333;5.283333333333333;10.855;['51° 53′ NB, 5° 17′ OL'];;;;0;;;;0;
632;Gellicum;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.88333333333333;5.15;340;['51° 53′ NB, 5° 9′ OL'];;;;0;;;;0;
633;Gelselaar;Gelderland;Oost-Nederland           ;Berkelland                         ;52.166666666666664;6.533333333333333;650 (66 inw./km²);['52° 10′ NB, 6° 32′ OL'];;;;0;;;;0;
637;Gendringen;Gelderland;Oost-Nederland           ;Oude IJsselstreek                  ;51.86666666666667;6.383333333333334;4.645;['51° 52′ NB, 6° 23′ OL'];;;;0;;;;0;
638;Gendt;Gelderland;Oost-Nederland           ;Lingewaard                         ;51.88333333333333;5.966666666666667;7.230;['51° 53′ NB, 5° 58′ OL'];;;;0;;;;0;
644;Giesbeek;Gelderland;Oost-Nederland           ;Zevenaar                           ;52.0;6.066666666666666;2.765 (301 inw./km²);['51° 60′ NB, 6° 4′ OL'];;;;0;;;;0;
655;De Glind;Gelderland;Oost-Nederland           ;Barneveld                          ;;;600;52° 7′ NB, 5° 30′ OL;;;;0;;;;0;
667;Gorssel;Gelderland;Oost-Nederland           ;Lochem                             ;52.2;6.2;4.030;['52° 12′ NB, 6° 12′ OL'];;;;0;;;;0;
695;Groenlo;Gelderland;Oost-Nederland           ;Oost Gelre                         ;52.03333333333333;6.616666666666667;9.885 (1.050 inw./km²);['52° 2′ NB, 6° 37′ OL'];;;;0;;;;0;
696;Groesbeek;Gelderland;Oost-Nederland           ;Berg en Dal                        ;51.78333333333333;5.933333333333334;16.725 (704 inw./km²);['51° 47′ NB, 5° 56′ OL'];;;;0;;;;0;
697;Groessen;Gelderland;Oost-Nederland           ;Duiven                             ;51.93333333333333;6.033333333333333;2.015;['51° 56′ NB, 6° 2′ OL'];;;;0;;;;0;
712;Haaften;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.81666666666667;5.216666666666667;2.780;['51° 49′ NB, 5° 13′ OL'];;;;0;;;;0;
714;Haalderen;Gelderland;Oost-Nederland           ;Lingewaard                         ;51.88333333333333;5.933333333333334;2.061;['51° 53′ NB, 5° 56′ OL'];;;;0;;;;0;
721;Haarlo;Gelderland;Oost-Nederland           ;Berkelland                         ;52.11666666666667;6.583333333333333;725 (67 inw./km²);['52° 7′ NB, 6° 35′ OL'];;;;0;;;;0;
730;Hall;Gelderland;Oost-Nederland           ;Brummen                            ;52.11666666666667;6.1;810;['52° 7′ NB, 6° 6′ OL'];;;;0;;;;0;
731;Halle;Gelderland;Oost-Nederland           ;Bronckhorst                        ;51.983333333333334;6.433333333333334;2.180;['51° 59′ NB, 6° 26′ OL'];;;;0;;;;0;
745;'t Harde;Gelderland;Oost-Nederland           ;Elburg                             ;;;6765;52° 25′ NB, 5° 53′ OL;;;;0;;;;0;
747;Harderwijk;Gelderland;Oost-Nederland           ;Harderwijk                         ;52.35;5.616666666666667;48.623? (1.250 inw./km²);['52° 21′ NB, 5° 37′ OL'];;;;0;;;;0;
751;Harfsen;Gelderland;Oost-Nederland           ;Lochem                             ;52.2;6.3;1.735;['52° 12′ NB, 6° 18′ OL'];;;;0;;;;0;
759;Harreveld;Gelderland;Oost-Nederland           ;Oost Gelre                         ;51.983333333333334;6.516666666666667;1.410;['51° 59′ NB, 6° 31′ OL'];;;;0;;;;0;
760;Harskamp;Gelderland;Oost-Nederland           ;Ede                                ;52.13333333333333;5.75;3.530;['52° 8′ NB, 5° 45′ OL'];;;;0;;;;0;
765;Hattem;Gelderland;Oost-Nederland           ;Hattem                             ;;;12241;52° 29′ NB, 6° 4′ OL;;;;0;;;;0;
766;Hattemerbroek;Gelderland;Oost-Nederland           ;Oldebroek                          ;;;Not;;;;;0;;;;0;
774;Hedel;Gelderland;Oost-Nederland           ;Maasdriel                          ;51.75;5.266666666666667;5030;['51° 45′ NB, 5° 16′ OL'];;;;0;;;;0;
779;Heelsum;Gelderland;Oost-Nederland           ;Renkum                             ;51.983333333333334;5.75;3.395;['51° 59′ NB, 5° 45′ OL'];;;;0;;;;0;
780;Heelweg;Gelderland;Oost-Nederland           ;Oude IJsselstreek                  ;;;1110;51° 58′ NB, 6° 28′ OL;;;;0;;;;0;
789;Heerde;Gelderland;Oost-Nederland           ;Heerde                             ;;;;['52° 23′ NB, 6° 3′ OL']	11.520	52.38333333333333	6.05;;;;0;;;;0;
790;'s-Heerenberg;Gelderland;Oost-Nederland           ;Montferland                        ;;;8595;51° 53′ NB, 6° 15′ OL;;;;0;;;;0;
794;Heerewaarden;Gelderland;Oost-Nederland           ;Maasdriel                          ;51.81805555555556;5.391944444444444;1366;"['51°49\'5""NB, 5°23\'31""OL']";;;;0;;;;0;
801;Heesselt;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.81666666666667;5.35;440;['51° 49′ NB, 5° 21′ OL'];;;;0;;;;0;
816;Heilig Landstichting;Gelderland;Oost-Nederland           ;Berg en Dal                        ;;;825;51° 49′ NB, 5° 53′ OL;;;;0;;;;0;
829;Hellouw;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.833333333333336;5.183333333333334;1.015;['51° 50′ NB, 5° 11′ OL'];;;;0;;;;0;
835;Hemmen;Gelderland;Oost-Nederland           ;Overbetuwe                         ;51.93333333333333;5.7;190;['51° 56′ NB, 5° 42′ OL'];;;;0;;;;0;
840;Hengelo (Gld);Gelderland;Oost-Nederland           ;Bronckhorst                        ;;;6560;"52° 3′ NB, 6° 19′ OL
";;;;0;;;;0;
847;Hernen;Gelderland;Oost-Nederland           ;Wijchen                            ;51.833333333333336;5.683333333333334;905 (133 inw./km²);['51° 50′ NB, 5° 41′ OL'];;;;0;;;;0;
853;Herveld;Gelderland;Oost-Nederland           ;Overbetuwe                         ;;;nvt;;;;;0;;;;0;
854;Herwen;Gelderland;Oost-Nederland           ;Zevenaar                           ;51.88333333333333;6.1;1.030;['51° 53′ NB, 6° 6′ OL'];;;;0;;;;0;
855;Herwijnen;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.833333333333336;5.133333333333334;2.700;['51° 50′ NB, 5° 8′ OL'];;;;0;;;;0;
856;Heteren;Gelderland;Oost-Nederland           ;Overbetuwe                         ;51.95;5.75;5.165;['51° 57′ NB, 5° 45′ OL'];;;;0;;;;0;
858;Heukelum;Gelderland;Oost-Nederland           ;West Betuwe                        ;51.86666666666667;5.083333333333333;2.285;['51° 52′ NB, 5° 5′ OL'];;;;0;;;;0;
859;Heumen;Gelderland;Oost-Nederland           ;Heumen                             ;51.78333333333333;5.866666666666667;1.720;['51° 47′ NB, 5° 52′ OL'];;;;0;;;;0;
860;De Heurne;Gelderland;Oost-Nederland           ;Aalten                             ;;;1000;51° 53′ NB, 6° 29′ OL;;;;0;;;;0;
863;Heveadorp;Gelderland;Oost-Nederland           ;Renkum                             ;51.96666666666667;5.816666666666666;715;['51° 58′ NB, 5° 49′ OL'];;;;0;;;;0;
869;Hierden;Gelderland;Oost-Nederland           ;Harderwijk                         ;52.36666666666667;5.683333333333334;3.165 (354 inw./km²);['52° 22′ NB, 5° 41′ OL'];;;;0;;;;0;
887;Hoenderloo;Gelderland;Oost-Nederland           ;Apeldoorn                          ;;;Not;;;;;0;;;;0;
888;Hoenderloo;Gelderland;Oost-Nederland           ;Ede                                ;52.11666666666667;5.883333333333333;1615/65 (Ede);['52° 7′ NB, 5° 53′ OL'];;;;0;;;;0;
890;Hoenzadriel;Gelderland;Oost-Nederland           ;Maasdriel                          ;51.75;5.333333333333333;275;['51° 45′ NB, 5° 20′ OL'];;;;0;;;;0;
892;Hoevelaken;Gelderland;Oost-Nederland           ;Nijkerk                            ;52.166666666666664;5.466666666666667;9.655;['52° 10′ NB, 5° 28′ OL'];;;;0;;;;0;
907;Homoet;Gelderland;Oost-Nederland           ;Overbetuwe                         ;51.93333333333333;5.8;60;['51° 56′ NB, 5° 48′ OL'];;;;0;;;;0;
911;Hoog Soeren;Gelderland;Oost-Nederland           ;Apeldoorn                          ;;;240;52° 13′ NB, 5° 52′ OL;;;;0;;;;0;
924;Hoog-Keppel;Gelderland;Oost-Nederland           ;Bronckhorst                        ;;;470;52° 0′ NB, 6° 12′ OL;;;;0;;;;0;
939;Horssen;Gelderland;Oost-Nederland           ;Druten                             ;51.85;5.616666666666667;1.620;['51° 51′ NB, 5° 37′ OL'];;;;0;;;;0;
950;Huissen;Gelderland;Oost-Nederland           ;Lingewaard                         ;51.93333333333333;5.933333333333334;19.285;['51° 56′ NB, 5° 56′ OL'];;;;0;;;;0;
955;Hulshorst;Gelderland;Oost-Nederland           ;Nunspeet                           ;52.36666666666667;5.733333333333333;1.980;['52° 22′ NB, 5° 44′ OL'];;;;0;;;;0;
958;Hummelo;Gelderland;Oost-Nederland           ;Bronckhorst                        ;52.0;6.233333333333333;1.620;['52° 0′ NB, 6° 14′ OL'];;;;0;;;;0;
962;Hurwenen;Gelderland;Oost-Nederland           ;Maasdriel                          ;51.81666666666667;5.316666666666666;877;['51° 49′ NB, 5° 19′ OL'];;;;0;;;;0;
976;IJzendoorn;Gelderland;Oost-Nederland           ;Neder-Betuwe                       ;51.9;5.533333333333333;1.075 (175 inw./km²);['51° 54′ NB, 5° 32′ OL'];;;;0;;;;0;
982;Ingen;Gelderland;Oost-Nederland           ;Buren                              ;51.96666666666667;5.483333333333333;2.275;['51° 58′ NB, 5° 29′ OL'];;;;0;;;;0;
996;Joppe;Gelderland;Oost-Nederland           ;Lochem                             ;52.2;6.233333333333333;405;['52° 12′ NB, 6° 14′ OL'];;;;0;;;;0;
1013;Kapel Avezaath;Gelderland;Oost-Nederland           ;Tiel                               ;;;Not;;;;;0;;;;0;
1014;Kapel-Avezaath;Gelderland;Oost-Nederland           ;Buren                              ;51.88333333333333;5.383333333333334;800;['51° 53′ NB, 5° 23′ OL'];;;;0;;;;0;
1025;Keijenborg;Gelderland;Oost-Nederland           ;Bronckhorst                        ;52.03333333333333;6.3;1.525;['52° 2′ NB, 6° 18′ OL'];;;;0;;;;0;
1026;Kekerdom;Gelderland;Oost-Nederland           ;Berg en Dal                        ;51.86666666666667;6.016666666666667;485 (94 inw./km²);['51° 52′ NB, 6° 1′ OL'];;;;0;;;;0;
1028;Kerk Avezaath;Gelderland;Oost-Nederland           ;Tiel                               ;;;nvt;;;;;0;;;;0;
1029;Kerk-Avezaath;Gelderland;Oost-Nederland           ;Buren                              ;51.9;5.383333333333334;1.350;['51° 54′ NB, 5° 23′ OL'];;;;0;;;;0;
1030;Kerkdriel;Gelderland;Oost-Nederland           ;Maasdriel                          ;51.766666666666666;5.333333333333333;7839;['51° 46′ NB, 5° 20′ OL'];;;;0;;;;0;
1034;Kerkwijk;Gelderland;Oost-Nederland           ;Zaltbommel                         ;51.766666666666666;5.216666666666667;656;['51° 46′ NB, 5° 13′ OL'];;;;0;;;;0;
1036;Kesteren;Gelderland;Oost-Nederland           ;Neder-Betuwe                       ;51.93333333333333;5.566666666666666;6.100;['51° 56′ NB, 5° 34′ OL'];;;;0;;;;0;
1039;Kilder;Gelderland;Oost-Nederland           ;Montferland                        ;51.93333333333333;6.233333333333333;1.475;['51° 56′ NB, 6° 14′ OL'];;;;0;;;;0;
1044;Klarenbeek;Gelderland;Oost-Nederland           ;Voorst                             ;;;3500;52° 10′ NB, 6° 4′ OL;;;;0;;;;0;
1045;Klarenbeek;Gelderland;Oost-Nederland           ;Apeldoorn                          ;;;nvt;;;;;0;;;;0;
1053;De Klomp;Gelderland;Oost-Nederland           ;Ede                                ;;;465;52° 3′ NB, 5° 34′ OL;;;;0;;;;0;
1080;Kootwijk;Gelderland;Oost-Nederland           ;Barneveld                          ;52.18333333333333;5.766666666666667;265;['52° 11′ NB, 5° 46′ OL'];;;;0;;;;0;
1081;Kootwijkerbroek;Gelderland;Oost-Nederland           ;Barneveld                          ;52.15;5.666666666666667;5.595;['52° 9′ NB, 5° 40′ OL'];;;;0;;;;0;
1098;Kring van Dorth;Gelderland;Oost-Nederland           ;Lochem                             ;;;270;52° 13′ NB, 6° 16′ OL;;;;0;;;;0;
1113;Laag-Keppel;Gelderland;Oost-Nederland           ;Bronckhorst                        ;52.0;6.216666666666667;580;['51° 60′ NB, 6° 13′ OL'];;;;0;;;;0;
1114;Laag-Soeren;Gelderland;Oost-Nederland           ;Rheden                             ;52.083333333333336;6.066666666666666;915;['52° 5′ NB, 6° 4′ OL'];;;;0;;;;0;
1136;Laren;Gelderland;Oost-Nederland           ;Lochem                             ;52.2;6.366666666666666;4.230;['52° 12′ NB, 6° 22′ OL'];;;;0;;;;0;
1138;Lathum;Gelderland;Oost-Nederland           ;Zevenaar                           ;51.983333333333334;6.016666666666667;1.345 (947 inw./km²);['51° 59′ NB, 6° 1′ OL'];;;;0;;;;0;
1165;Lengel;Gelderland;Oost-Nederland           ;Montferland                        ;51.88333333333333;6.266666666666667;250;['51° 53′ NB, 6° 16′ OL'];;;;0;;;;0;
1166;Lent;Gelderland;Oost-Nederland           ;Nijmegen                           ;51.86666666666667;5.866666666666667;11.175 (1.561 inw./km²);['51° 52′ NB, 5° 52′ OL'];;;;0;;;;0;
1172;Leur;Gelderland;Oost-Nederland           ;Wijchen                            ;51.85;5.666666666666667;135 (27 inw./km²);['51° 51′ NB, 5° 40′ OL'];;;;0;;;;0;
